Municipality,ISTAT Code,Cadastral Code,Year of Construction,Climate Zone,Winter Energy,Sanitary Energy,Global Energy Location,Non-Renewable Global Energy Performance,Renewable Global Energy Performance,Degree Days,CO2 Emission,ID
San Michele all'Adige,22167,170,2006,E,92.44,22.97,116.91,0.0,0.0,2849,23.26,193
Cles,22062,106,1960,F,40.72,27.76,79.83,0.0,0.0,3265,16.0,194
Caderzone Terme,22029,49,1980,F,181.59,64.89,284.43,0.0,0.0,3519,77.91,195
Mezzocorona,22116,230,1970,E,192.13,28.41,221.83,0.0,0.0,2835,44.49,196
Tione di Trento,22199,397,1985,F,336.55,27.87,413.36,0.0,0.0,3272,98.7,197
Moena,22118,235,1940,F,115.88,29.2,215.01,0.0,0.0,4238,22.58,198
Predazzo,22147,290,1980,F,63.61,23.97,141.85,0.0,0.0,4295,19.46,199
Commezzadura,22064,276,1649,F,497.8,41.8,724.4,0.0,0.0,3717,41.5,200
Moena,22118,235,1940,F,221.99,24.34,379.69,0.0,0.0,4238,43.42,201
Moena,22118,235,1940,F,99.2,24.34,183.67,0.0,0.0,4238,19.4,202
Moena,22118,235,1940,F,178.98,24.34,290.53,0.0,0.0,4238,35.01,203
Sarnonico,22170,338,1930,F,65.92,56.31,122.24,0.0,0.0,3893,14.07,204
Storo,22183,365,1950,F,53.62,19.9,79.45,0.0,0.0,3029,17.28,205
Rovereto,22161,256,1940,E,234.05,22.18,262.15,0.0,0.0,2713,53.23,206
Strembo,22184,370,1976,F,61.19,30.43,113.1,0.0,0.0,3505,21.59,207
Dro,22079,140,2009,E,97.1,22.07,115.79,0.0,0.0,2354,24.0,208
Predazzo,22147,290,1860,F,241.0,23.7,368.3,0.0,0.0,4295,52.9,209
San Michele all'Adige,22167,333,1997,E,76.5,29.45,107.23,0.0,0.0,2849,21.52,210
Pieve Tesino,22142,278,1850,F,494.51,70.6,752.56,0.0,0.0,3706,228.5,211
Mezzolombardo,22117,232,2011,E,35.07,9.19,42.46,0.0,0.0,2835,10.04,212
Pinzolo,22143,280,1969,F,52.3,147.7,215.7,0.0,0.0,3592,33.4,213
Tenno,22191,384,1700,F,251.35,24.72,311.39,0.0,0.0,3058,74.52,214
Besenello,22013,22,2002,E,86.3,25.9,112.2,0.0,0.0,2734,22.4,215
Ossana,22131,261,1935,F,552.5,57.1,858.6,0.0,0.0,3955,46.9,216
Rovereto,22161,325,2008,E,39.13,19.71,59.78,0.0,0.0,2713,11.8,217
Comano Terme,22228,203,1983,F,132.9,43.1,201.5,0.0,0.0,3180,53.1,218
Commezzadura,22064,220,1900,F,35.55,11.55,64.65,0.0,0.0,3717,10.72,219
Levico Terme,22104,190,1940,F,480.97,23.19,589.04,0.0,0.0,3075,118.94,220
Rovereto,22161,193,1990,E,17.9,2.23,20.43,0.0,0.0,2713,4.0,221
